epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02003,0.88937,1.16305,1.21541,0.03028,0.21667,0.08763,0.04355,2.13068,4.97004,2.05085,0,0,0
2,4.20628,1.07478,1.51802,1.40486,0.06011,0.46667,0.1219,0.05691,2.06709,4.6786,2.00743,1.07219e-06,1.07219e-06,1.07219e-06
3,6.44423,0.70523,0.93042,1.09193,0.06924,0.56667,0.13595,0.06777,1.98093,4.38366,1.96066,1.90876e-06,1.90876e-06,1.90876e-06
4,8.70722,0.78286,0.93188,1.06227,0.06197,0.56667,0.25628,0.12992,1.91659,4.20698,1.88617,2.50971e-06,2.50971e-06,2.50971e-06
5,10.8006,0.80663,0.90698,1.11264,0.13819,0.31524,0.25812,0.18764,1.92399,3.95412,1.86519,2.87504e-06,2.87504e-06,2.87504e-06
6,12.8334,1.06987,1.73815,1.4991,0.31984,0.2778,0.26429,0.19448,1.92563,3.65938,1.80651,3.00475e-06,3.00475e-06,3.00475e-06
7,14.9756,0.71492,0.73847,1.01626,0.52007,0.33656,0.28155,0.20232,1.77555,3.45394,1.69211,2.89884e-06,2.89884e-06,2.89884e-06
8,17.0158,0.74833,1.02885,1.14075,0.53792,0.34453,0.29778,0.21657,1.78008,3.29731,1.69231,2.55731e-06,2.55731e-06,2.55731e-06
9,19.0938,0.69991,0.93286,1.00223,0.54989,0.35021,0.31686,0.23577,1.66846,3.1432,1.58023,1.98016e-06,1.98016e-06,1.98016e-06
10,21.2014,0.97289,1.00859,1.2772,0.56909,0.3618,0.3382,0.25362,1.60414,2.95281,1.53603,1.16739e-06,1.16739e-06,1.16739e-06
